"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01571","北海道 豊浦町","2016100000","2016年度","","1",""
"01571","北海道 豊浦町","2015100000","2015年度","","1",""
"01571","北海道 豊浦町","2014100000","2014年度","","1",""
"01571","北海道 豊浦町","2013100000","2013年度","","1",""
"01571","北海道 豊浦町","2012100000","2012年度","","1",""
"01571","北海道 豊浦町","2011100000","2011年度","","1",""
"01571","北海道 豊浦町","2010100000","2010年度","","1",""
"01571","北海道 豊浦町","2009100000","2009年度","","1",""
"01571","北海道 豊浦町","2008100000","2008年度","","1",""
"01571","北海道 豊浦町","2007100000","2007年度","","1",""
"01571","北海道 豊浦町","2006100000","2006年度","","1",""
"01571","北海道 豊浦町","2005100000","2005年度","","1",""
"01571","北海道 豊浦町","2004100000","2004年度","","1",""
"01571","北海道 豊浦町","2003100000","2003年度","","1",""
"01571","北海道 豊浦町","2002100000","2002年度","","1",""
"01571","北海道 豊浦町","2001100000","2001年度","","1",""
"01571","北海道 豊浦町","2000100000","2000年度","","1",""
"01571","北海道 豊浦町","1999100000","1999年度","","1",""
"01571","北海道 豊浦町","1998100000","1998年度","","1",""
"01571","北海道 豊浦町","1997100000","1997年度","","1",""
"01575","北海道 壮瞥町","2019100000","2019年度","","2",""
"01575","北海道 壮瞥町","2018100000","2018年度","","2",""
"01575","北海道 壮瞥町","2017100000","2017年度","","2",""
"01575","北海道 壮瞥町","2016100000","2016年度","","2",""
"01575","北海道 壮瞥町","2015100000","2015年度","","2",""
"01575","北海道 壮瞥町","2014100000","2014年度","","2",""
"01575","北海道 壮瞥町","2013100000","2013年度","","2",""
"01575","北海道 壮瞥町","2012100000","2012年度","","2",""
"01575","北海道 壮瞥町","2011100000","2011年度","","2",""
"01575","北海道 壮瞥町","2010100000","2010年度","","2",""
"01575","北海道 壮瞥町","2009100000","2009年度","","2",""
"01575","北海道 壮瞥町","2008100000","2008年度","","2",""
"01575","北海道 壮瞥町","2007100000","2007年度","","2",""
"01575","北海道 壮瞥町","2006100000","2006年度","","2",""
"01575","北海道 壮瞥町","2005100000","2005年度","","2",""
"01575","北海道 壮瞥町","2004100000","2004年度","","2",""
"01575","北海道 壮瞥町","2003100000","2003年度","","2",""
"01575","北海道 壮瞥町","2002100000","2002年度","","2",""
"01575","北海道 壮瞥町","2001100000","2001年度","","2",""
"01575","北海道 壮瞥町","2000100000","2000年度","","2",""
"01575","北海道 壮瞥町","1999100000","1999年度","","2",""
"01575","北海道 壮瞥町","1998100000","1998年度","","2",""
"01575","北海道 壮瞥町","1997100000","1997年度","","2",""
"01578","北海道 白老町","2019100000","2019年度","","1",""
"01578","北海道 白老町","2018100000","2018年度","","1",""
"01578","北海道 白老町","2017100000","2017年度","","1",""
"01578","北海道 白老町","2016100000","2016年度","","1",""
"01578","北海道 白老町","2015100000","2015年度","","1",""
"01578","北海道 白老町","2014100000","2014年度","","1",""
"01578","北海道 白老町","2013100000","2013年度","","1",""
"01578","北海道 白老町","2012100000","2012年度","","1",""
"01578","北海道 白老町","2011100000","2011年度","","2",""
"01578","北海道 白老町","2010100000","2010年度","","2",""
"01578","北海道 白老町","2009100000","2009年度","","2",""
"01578","北海道 白老町","2008100000","2008年度","","2",""
"01578","北海道 白老町","2007100000","2007年度","","2",""
"01578","北海道 白老町","2006100000","2006年度","","2",""
"01578","北海道 白老町","2005100000","2005年度","","2",""
"01578","北海道 白老町","2004100000","2004年度","","2",""
"01578","北海道 白老町","2003100000","2003年度","","2",""
"01578","北海道 白老町","2002100000","2002年度","","2",""
"01578","北海道 白老町","2001100000","2001年度","","2",""
"01578","北海道 白老町","2000100000","2000年度","","2",""
"01578","北海道 白老町","1999100000","1999年度","","2",""
"01578","北海道 白老町","1998100000","1998年度","","2",""
"01578","北海道 白老町","1997100000","1997年度","","2",""
"01581","北海道 厚真町","2019100000","2019年度","","0",""
"01581","北海道 厚真町","2018100000","2018年度","","0",""
"01581","北海道 厚真町","2017100000","2017年度","","0",""
"01581","北海道 厚真町","2016100000","2016年度","","0",""
"01581","北海道 厚真町","2015100000","2015年度","","0",""
"01581","北海道 厚真町","2014100000","2014年度","","0",""
"01581","北海道 厚真町","2013100000","2013年度","","0",""
"01581","北海道 厚真町","2012100000","2012年度","","0",""
"01581","北海道 厚真町","2011100000","2011年度","","0",""
"01581","北海道 厚真町","2010100000","2010年度","","0",""
"01581","北海道 厚真町","2009100000","2009年度","","0",""
"01581","北海道 厚真町","2008100000","2008年度","","0",""
"01581","北海道 厚真町","2007100000","2007年度","","0",""
"01581","北海道 厚真町","2006100000","2006年度","","0",""
"01581","北海道 厚真町","2005100000","2005年度","","0",""
"01581","北海道 厚真町","2004100000","2004年度","","0",""
"01581","北海道 厚真町","2003100000","2003年度","","0",""
"01581","北海道 厚真町","2002100000","2002年度","","0",""
"01581","北海道 厚真町","2001100000","2001年度","","0",""
"01581","北海道 厚真町","2000100000","2000年度","","0",""
"01581","北海道 厚真町","1999100000","1999年度","","0",""
"01581","北海道 厚真町","1998100000","1998年度","","0",""
"01581","北海道 厚真町","1997100000","1997年度","","0",""
"01584","北海道 洞爺湖町","2019100000","2019年度","","2",""
"01584","北海道 洞爺湖町","2018100000","2018年度","","2",""
"01584","北海道 洞爺湖町","2017100000","2017年度","","2",""
"01584","北海道 洞爺湖町","2016100000","2016年度","","2",""
"01584","北海道 洞爺湖町","2015100000","2015年度","","2",""
"01584","北海道 洞爺湖町","2014100000","2014年度","","2",""
"01584","北海道 洞爺湖町","2013100000","2013年度","","2",""
"01584","北海道 洞爺湖町","2012100000","2012年度","","2",""
"01584","北海道 洞爺湖町","2011100000","2011年度","","2",""
"01584","北海道 洞爺湖町","2010100000","2010年度","","2",""
"01584","北海道 洞爺湖町","2009100000","2009年度","","2",""
"01584","北海道 洞爺湖町","2008100000","2008年度","","2",""
"01584","北海道 洞爺湖町","2007100000","2007年度","","2",""
"01584","北海道 洞爺湖町","2006100000","2006年度","","3",""
"01584","北海道 洞爺湖町","2005100000","2005年度","","3",""
"01584","北海道 洞爺湖町","2004100000","2004年度","","3",""
"01584","北海道 洞爺湖町","2003100000","2003年度","","3",""
"01584","北海道 洞爺湖町","2002100000","2002年度","","2",""
"01584","北海道 洞爺湖町","2001100000","2001年度","","2",""
"01584","北海道 洞爺湖町","2000100000","2000年度","","3",""
"01584","北海道 洞爺湖町","1999100000","1999年度","","4",""
"01584","北海道 洞爺湖町","1998100000","1998年度","","4",""
"01584","北海道 洞爺湖町","1997100000","1997年度","","4",""
"01585","北海道 安平町","2019100000","2019年度","","1",""
"01585","北海道 安平町","2018100000","2018年度","","1",""
"01585","北海道 安平町","2017100000","2017年度","","1",""
"01585","北海道 安平町","2016100000","2016年度","","1",""
"01585","北海道 安平町","2015100000","2015年度","","1",""
"01585","北海道 安平町","2014100000","2014年度","","1",""
"01585","北海道 安平町","2013100000","2013年度","","1",""
"01585","北海道 安平町","2012100000","2012年度","","1",""
"01585","北海道 安平町","2011100000","2011年度","","1",""
"01585","北海道 安平町","2010100000","2010年度","","1",""
"01585","北海道 安平町","2009100000","2009年度","","1",""
"01585","北海道 安平町","2008100000","2008年度","","1",""
"01585","北海道 安平町","2007100000","2007年度","","1",""
"01585","北海道 安平町","2006100000","2006年度","","1",""
"01585","北海道 安平町","2005100000","2005年度","","1",""
"01585","北海道 安平町","2004100000","2004年度","","1",""
"01585","北海道 安平町","2003100000","2003年度","","1",""
"01585","北海道 安平町","2002100000","2002年度","","1",""
"01585","北海道 安平町","2001100000","2001年度","","1",""
"01585","北海道 安平町","2000100000","2000年度","","1",""
"01585","北海道 安平町","1999100000","1999年度","","1",""
"01585","北海道 安平町","1998100000","1998年度","","1",""
"01585","北海道 安平町","1997100000","1997年度","","1",""
"01586","北海道 むかわ町","2019100000","2019年度","","1",""
"01586","北海道 むかわ町","2018100000","2018年度","","1",""
"01586","北海道 むかわ町","2017100000","2017年度","","1",""
"01586","北海道 むかわ町","2016100000","2016年度","","1",""
"01586","北海道 むかわ町","2015100000","2015年度","","1",""
"01586","北海道 むかわ町","2014100000","2014年度","","1",""
"01586","北海道 むかわ町","2013100000","2013年度","","1",""
"01586","北海道 むかわ町","2012100000","2012年度","","1",""
"01586","北海道 むかわ町","2011100000","2011年度","","1",""
"01586","北海道 むかわ町","2010100000","2010年度","","1",""
"01586","北海道 むかわ町","2009100000","2009年度","","1",""
"01586","北海道 むかわ町","2008100000","2008年度","","1",""
"01586","北海道 むかわ町","2007100000","2007年度","","1",""
"01586","北海道 むかわ町","2006100000","2006年度","","1",""
"01586","北海道 むかわ町","2005100000","2005年度","","1",""
"01586","北海道 むかわ町","2004100000","2004年度","","2",""
"01586","北海道 むかわ町","2003100000","2003年度","","2",""
"01586","北海道 むかわ町","2002100000","2002年度","","2",""
"01586","北海道 むかわ町","2001100000","2001年度","","2",""
"01586","北海道 むかわ町","2000100000","2000年度","","2",""
"01586","北海道 むかわ町","1999100000","1999年度","","2",""
"01586","北海道 むかわ町","1998100000","1998年度","","2",""
"01586","北海道 むかわ町","1997100000","1997年度","","2",""
"01601","北海道 日高町","2019100000","2019年度","","1",""
"01601","北海道 日高町","2018100000","2018年度","","1",""
"01601","北海道 日高町","2017100000","2017年度","","1",""
"01601","北海道 日高町","2016100000","2016年度","","1",""
"01601","北海道 日高町","2015100000","2015年度","","2",""
"01601","北海道 日高町","2014100000","2014年度","","2",""
"01601","北海道 日高町","2013100000","2013年度","","2",""
"01601","北海道 日高町","2012100000","2012年度","","2",""
"01601","北海道 日高町","2011100000","2011年度","","2",""
"01601","北海道 日高町","2010100000","2010年度","","2",""
"01601","北海道 日高町","2009100000","2009年度","","2",""
"01601","北海道 日高町","2008100000","2008年度","","3",""
"01601","北海道 日高町","2007100000","2007年度","","3",""
"01601","北海道 日高町","2006100000","2006年度","","3",""
"01601","北海道 日高町","2005100000","2005年度","","3",""
"01601","北海道 日高町","2004100000","2004年度","","3",""
"01601","北海道 日高町","2003100000","2003年度","","3",""
"01601","北海道 日高町","2002100000","2002年度","","3",""
"01601","北海道 日高町","2001100000","2001年度","","3",""
"01601","北海道 日高町","2000100000","2000年度","","3",""
"01601","北海道 日高町","1999100000","1999年度","","3",""
"01601","北海道 日高町","1998100000","1998年度","","3",""
"01601","北海道 日高町","1997100000","1997年度","","3",""
"01602","北海道 平取町","2019100000","2019年度","","1",""
"01602","北海道 平取町","2018100000","2018年度","","1",""
"01602","北海道 平取町","2017100000","2017年度","","1",""
"01602","北海道 平取町","2016100000","2016年度","","1",""
"01602","北海道 平取町","2015100000","2015年度","","1",""
"01602","北海道 平取町","2014100000","2014年度","","1",""
"01602","北海道 平取町","2013100000","2013年度","","1",""
"01602","北海道 平取町","2012100000","2012年度","","1",""
"01602","北海道 平取町","2011100000","2011年度","","1",""
"01602","北海道 平取町","2010100000","2010年度","","1",""
"01602","北海道 平取町","2009100000","2009年度","","1",""
"01602","北海道 平取町","2008100000","2008年度","","1",""
"01602","北海道 平取町","2007100000","2007年度","","1",""
"01602","北海道 平取町","2006100000","2006年度","","1",""
"01602","北海道 平取町","2005100000","2005年度","","1",""
"01602","北海道 平取町","2004100000","2004年度","","1",""
"01602","北海道 平取町","2003100000","2003年度","","1",""
"01602","北海道 平取町","2002100000","2002年度","","1",""
"01602","北海道 平取町","2001100000","2001年度","","1",""
"01602","北海道 平取町","2000100000","2000年度","","1",""
"01602","北海道 平取町","1999100000","1999年度","","1",""
"01602","北海道 平取町","1998100000","1998年度","","1",""
"01602","北海道 平取町","1997100000","1997年度","","1",""
"01604","北海道 新冠町","2019100000","2019年度","","0",""
"01604","北海道 新冠町","2018100000","2018年度","","0",""
"01604","北海道 新冠町","2017100000","2017年度","","0",""
"01604","北海道 新冠町","2016100000","2016年度","","0",""
"01604","北海道 新冠町","2015100000","2015年度","","0",""
"01604","北海道 新冠町","2014100000","2014年度","","0",""
"01604","北海道 新冠町","2013100000","2013年度","","0",""
"01604","北海道 新冠町","2012100000","2012年度","","0",""
"01604","北海道 新冠町","2011100000","2011年度","","0",""
"01604","北海道 新冠町","2010100000","2010年度","","0",""
"01604","北海道 新冠町","2009100000","2009年度","","0",""
"01604","北海道 新冠町","2008100000","2008年度","","1",""
"01604","北海道 新冠町","2007100000","2007年度","","1",""
"01604","北海道 新冠町","2006100000","2006年度","","1",""
"01604","北海道 新冠町","2005100000","2005年度","","1",""
"01604","北海道 新冠町","2004100000","2004年度","","1",""
"01604","北海道 新冠町","2003100000","2003年度","","1",""
"01604","北海道 新冠町","2002100000","2002年度","","1",""
"01604","北海道 新冠町","2001100000","2001年度","","1",""
"01604","北海道 新冠町","2000100000","2000年度","","1",""
"01604","北海道 新冠町","1999100000","1999年度","","1",""
"01604","北海道 新冠町","1998100000","1998年度","","1",""
"01604","北海道 新冠町","1997100000","1997年度","","1",""
"01607","北海道 浦河町","2019100000","2019年度","","1",""
"01607","北海道 浦河町","2018100000","2018年度","","1",""
"01607","北海道 浦河町","2017100000","2017年度","","1",""
"01607","北海道 浦河町","2016100000","2016年度","","1",""
"01607","北海道 浦河町","2015100000","2015年度","","1",""
"01607","北海道 浦河町","2014100000","2014年度","","1",""
"01607","北海道 浦河町","2013100000","2013年度","","1",""
"01607","北海道 浦河町","2012100000","2012年度","","1",""
"01607","北海道 浦河町","2011100000","2011年度","","1",""
"01607","北海道 浦河町","2010100000","2010年度","","1",""
"01607","北海道 浦河町","2009100000","2009年度","","1",""
"01607","北海道 浦河町","2008100000","2008年度","","1",""
"01607","北海道 浦河町","2007100000","2007年度","","1",""
"01607","北海道 浦河町","2006100000","2006年度","","1",""
"01607","北海道 浦河町","2005100000","2005年度","","1",""
"01607","北海道 浦河町","2004100000","2004年度","","1",""
"01607","北海道 浦河町","2003100000","2003年度","","1",""
"01607","北海道 浦河町","2002100000","2002年度","","1",""
"01607","北海道 浦河町","2001100000","2001年度","","1",""
"01607","北海道 浦河町","2000100000","2000年度","","1",""
"01607","北海道 浦河町","1999100000","1999年度","","1",""
"01607","北海道 浦河町","1998100000","1998年度","","1",""
"01607","北海道 浦河町","1997100000","1997年度","","1",""
"01608","北海道 様似町","2019100000","2019年度","","0",""
"01608","北海道 様似町","2018100000","2018年度","","0",""
"01608","北海道 様似町","2017100000","2017年度","","0",""
"01608","北海道 様似町","2016100000","2016年度","","0",""
"01608","北海道 様似町","2015100000","2015年度","","0",""
"01608","北海道 様似町","2014100000","2014年度","","0",""
"01608","北海道 様似町","2013100000","2013年度","","0",""
"01608","北海道 様似町","2012100000","2012年度","","0",""
"01608","北海道 様似町","2011100000","2011年度","","0",""
"01608","北海道 様似町","2010100000","2010年度","","0",""
"01608","北海道 様似町","2009100000","2009年度","","0",""
"01608","北海道 様似町","2008100000","2008年度","","0",""
"01608","北海道 様似町","2007100000","2007年度","","0",""
"01608","北海道 様似町","2006100000","2006年度","","0",""
"01608","北海道 様似町","2005100000","2005年度","","0",""
"01608","北海道 様似町","2004100000","2004年度","","0",""
"01608","北海道 様似町","2003100000","2003年度","","0",""
"01608","北海道 様似町","2002100000","2002年度","","0",""
"01608","北海道 様似町","2001100000","2001年度","","0",""
"01608","北海道 様似町","2000100000","2000年度","","0",""
"01608","北海道 様似町","1999100000","1999年度","","0",""
"01608","北海道 様似町","1998100000","1998年度","","0",""
"01608","北海道 様似町","1997100000","1997年度","","0",""
"01609","北海道 えりも町","2019100000","2019年度","","0",""
"01609","北海道 えりも町","2018100000","2018年度","","0",""
"01609","北海道 えりも町","2017100000","2017年度","","0",""
"01609","北海道 えりも町","2016100000","2016年度","","0",""
"01609","北海道 えりも町","2015100000","2015年度","","0",""
"01609","北海道 えりも町","2014100000","2014年度","","0",""
"01609","北海道 えりも町","2013100000","2013年度","","0",""
"01609","北海道 えりも町","2012100000","2012年度","","0",""
"01609","北海道 えりも町","2011100000","2011年度","","0",""
"01609","北海道 えりも町","2010100000","2010年度","","0",""
"01609","北海道 えりも町","2009100000","2009年度","","0",""
"01609","北海道 えりも町","2008100000","2008年度","","0",""
"01609","北海道 えりも町","2007100000","2007年度","","0",""
"01609","北海道 えりも町","2006100000","2006年度","","0",""
"01609","北海道 えりも町","2005100000","2005年度","","0",""
"01609","北海道 えりも町","2004100000","2004年度","","0",""
"01609","北海道 えりも町","2003100000","2003年度","","0",""
"01609","北海道 えりも町","2002100000","2002年度","","0",""
"01609","北海道 えりも町","2001100000","2001年度","","0",""
"01609","北海道 えりも町","2000100000","2000年度","","0",""
"01609","北海道 えりも町","1999100000","1999年度","","0",""
"01609","北海道 えりも町","1998100000","1998年度","","0",""
"01609","北海道 えりも町","1997100000","1997年度","","0",""
"01610","北海道 新ひだか町","2019100000","2019年度","","4",""
"01610","北海道 新ひだか町","2018100000","2018年度","","4",""
"01610","北海道 新ひだか町","2017100000","2017年度","","4",""
"01610","北海道 新ひだか町","2016100000","2016年度","","4",""
"01610","北海道 新ひだか町","2015100000","2015年度","","4",""
"01610","北海道 新ひだか町","2014100000","2014年度","","4",""
"01610","北海道 新ひだか町","2013100000","2013年度","","4",""
"01610","北海道 新ひだか町","2012100000","2012年度","","4",""
"01610","北海道 新ひだか町","2011100000","2011年度","","4",""
"01610","北海道 新ひだか町","2010100000","2010年度","","4",""
"01610","北海道 新ひだか町","2009100000","2009年度","","4",""
"01610","北海道 新ひだか町","2008100000","2008年度","","4",""
"01610","北海道 新ひだか町","2007100000","2007年度","","4",""
"01610","北海道 新ひだか町","2006100000","2006年度","","4",""
"01610","北海道 新ひだか町","2005100000","2005年度","","4",""
"01610","北海道 新ひだか町","2004100000","2004年度","","4",""
"01610","北海道 新ひだか町","2003100000","2003年度","","4",""
"01610","北海道 新ひだか町","2002100000","2002年度","","4",""
"01610","北海道 新ひだか町","2001100000","2001年度","","5",""
"01610","北海道 新ひだか町","2000100000","2000年度","","5",""
"01610","北海道 新ひだか町","1999100000","1999年度","","5",""
"01610","北海道 新ひだか町","1998100000","1998年度","","5",""
"01610","北海道 新ひだか町","1997100000","1997年度","","5",""
"01631","北海道 音更町","2019100000","2019年度","","4",""
"01631","北海道 音更町","2018100000","2018年度","","4",""
"01631","北海道 音更町","2017100000","2017年度","","4",""
"01631","北海道 音更町","2016100000","2016年度","","4",""
"01631","北海道 音更町","2015100000","2015年度","","4",""
"01631","北海道 音更町","2014100000","2014年度","","4",""
"01631","北海道 音更町","2013100000","2013年度","","4",""
"01631","北海道 音更町","2012100000","2012年度","","4",""
"01631","北海道 音更町","2011100000","2011年度","","4",""
"01631","北海道 音更町","2010100000","2010年度","","4",""
"01631","北海道 音更町","2009100000","2009年度","","4",""
"01631","北海道 音更町","2008100000","2008年度","","4",""
"01631","北海道 音更町","2007100000","2007年度","","4",""
"01631","北海道 音更町","2006100000","2006年度","","4",""
"01631","北海道 音更町","2005100000","2005年度","","4",""
"01631","北海道 音更町","2004100000","2004年度","","4",""
"01631","北海道 音更町","2003100000","2003年度","","5",""
"01631","北海道 音更町","2002100000","2002年度","","5",""
"01631","北海道 音更町","2001100000","2001年度","","6",""
"01631","北海道 音更町","2000100000","2000年度","","4",""
"01631","北海道 音更町","1999100000","1999年度","","4",""
"01631","北海道 音更町","1998100000","1998年度","","4",""
"01631","北海道 音更町","1997100000","1997年度","","4",""
"01632","北海道 士幌町","2019100000","2019年度","","1",""
"01632","北海道 士幌町","2018100000","2018年度","","1",""
"01632","北海道 士幌町","2017100000","2017年度","","1",""
"01632","北海道 士幌町","2016100000","2016年度","","1",""
"01632","北海道 士幌町","2015100000","2015年度","","1",""
"01632","北海道 士幌町","2014100000","2014年度","","1",""
"01632","北海道 士幌町","2013100000","2013年度","","1",""
"01632","北海道 士幌町","2012100000","2012年度","","1",""
"01632","北海道 士幌町","2011100000","2011年度","","1",""
"01632","北海道 士幌町","2010100000","2010年度","","1",""
"01632","北海道 士幌町","2009100000","2009年度","","1",""
"01632","北海道 士幌町","2008100000","2008年度","","1",""
"01632","北海道 士幌町","2007100000","2007年度","","1",""
"01632","北海道 士幌町","2006100000","2006年度","","1",""
"01632","北海道 士幌町","2005100000","2005年度","","1",""
"01632","北海道 士幌町","2004100000","2004年度","","1",""
"01632","北海道 士幌町","2003100000","2003年度","","1",""
"01632","北海道 士幌町","2002100000","2002年度","","1",""
"01632","北海道 士幌町","2001100000","2001年度","","1",""
"01632","北海道 士幌町","2000100000","2000年度","","1",""
"01632","北海道 士幌町","1999100000","1999年度","","1",""
"01632","北海道 士幌町","1998100000","1998年度","","1",""
"01632","北海道 士幌町","1997100000","1997年度","","1",""
"01633","北海道 上士幌町","2019100000","2019年度","","0",""
"01633","北海道 上士幌町","2018100000","2018年度","","0",""
"01633","北海道 上士幌町","2017100000","2017年度","","0",""
"01633","北海道 上士幌町","2016100000","2016年度","","0",""
"01633","北海道 上士幌町","2015100000","2015年度","","0",""
"01633","北海道 上士幌町","2014100000","2014年度","","0",""
"01633","北海道 上士幌町","2013100000","2013年度","","1",""
"01633","北海道 上士幌町","2012100000","2012年度","","1",""
"01633","北海道 上士幌町","2011100000","2011年度","","1",""
"01633","北海道 上士幌町","2010100000","2010年度","","1",""
"01633","北海道 上士幌町","2009100000","2009年度","","1",""
"01633","北海道 上士幌町","2008100000","2008年度","","1",""
"01633","北海道 上士幌町","2007100000","2007年度","","1",""
"01633","北海道 上士幌町","2006100000","2006年度","","1",""
"01633","北海道 上士幌町","2005100000","2005年度","","1",""
"01633","北海道 上士幌町","2004100000","2004年度","","1",""
"01633","北海道 上士幌町","2003100000","2003年度","","1",""
"01633","北海道 上士幌町","2002100000","2002年度","","1",""
"01633","北海道 上士幌町","2001100000","2001年度","","1",""
"01633","北海道 上士幌町","2000100000","2000年度","","1",""
"01633","北海道 上士幌町","1999100000","1999年度","","1",""
"01633","北海道 上士幌町","1998100000","1998年度","","1",""
"01633","北海道 上士幌町","1997100000","1997年度","","1",""
"01634","北海道 鹿追町","2019100000","2019年度","","1",""
"01634","北海道 鹿追町","2018100000","2018年度","","1",""
"01634","北海道 鹿追町","2017100000","2017年度","","1",""
"01634","北海道 鹿追町","2016100000","2016年度","","1",""
"01634","北海道 鹿追町","2015100000","2015年度","","1",""
"01634","北海道 鹿追町","2014100000","2014年度","","1",""
"01634","北海道 鹿追町","2013100000","2013年度","","1",""
"01634","北海道 鹿追町","2012100000","2012年度","","1",""
"01634","北海道 鹿追町","2011100000","2011年度","","1",""
"01634","北海道 鹿追町","2010100000","2010年度","","1",""
"01634","北海道 鹿追町","2009100000","2009年度","","1",""
"01634","北海道 鹿追町","2008100000","2008年度","","1",""
"01634","北海道 鹿追町","2007100000","2007年度","","1",""
"01634","北海道 鹿追町","2006100000","2006年度","","1",""
"01634","北海道 鹿追町","2005100000","2005年度","","1",""
"01634","北海道 鹿追町","2004100000","2004年度","","1",""
"01634","北海道 鹿追町","2003100000","2003年度","","1",""
"01634","北海道 鹿追町","2002100000","2002年度","","1",""
"01634","北海道 鹿追町","2001100000","2001年度","","1",""
"01634","北海道 鹿追町","2000100000","2000年度","","1",""
"01634","北海道 鹿追町","1999100000","1999年度","","1",""
"01634","北海道 鹿追町","1998100000","1998年度","","1",""
"01634","北海道 鹿追町","1997100000","1997年度","","1",""
"01635","北海道 新得町","2019100000","2019年度","","0",""
"01635","北海道 新得町","2018100000","2018年度","","0",""
"01635","北海道 新得町","2017100000","2017年度","","0",""
"01635","北海道 新得町","2016100000","2016年度","","0",""
"01635","北海道 新得町","2015100000","2015年度","","0",""
"01635","北海道 新得町","2014100000","2014年度","","0",""
"01635","北海道 新得町","2013100000","2013年度","","0",""
"01635","北海道 新得町","2012100000","2012年度","","0",""
"01635","北海道 新得町","2011100000","2011年度","","0",""
"01635","北海道 新得町","2010100000","2010年度","","0",""
"01635","北海道 新得町","2009100000","2009年度","","0",""
"01635","北海道 新得町","2008100000","2008年度","","0",""
"01635","北海道 新得町","2007100000","2007年度","","0",""
"01635","北海道 新得町","2006100000","2006年度","","0",""
"01635","北海道 新得町","2005100000","2005年度","","0",""
"01635","北海道 新得町","2004100000","2004年度","","0",""
"01635","北海道 新得町","2003100000","2003年度","","0",""
"01635","北海道 新得町","2002100000","2002年度","","0",""
"01635","北海道 新得町","2001100000","2001年度","","0",""
"01635","北海道 新得町","2000100000","2000年度","","0",""
"01635","北海道 新得町","1999100000","1999年度","","0",""
"01635","北海道 新得町","1998100000","1998年度","","0",""
"01635","北海道 新得町","1997100000","1997年度","","0",""
"01636","北海道 清水町","2019100000","2019年度","","2",""
"01636","北海道 清水町","2018100000","2018年度","","2",""
"01636","北海道 清水町","2017100000","2017年度","","2",""
"01636","北海道 清水町","2016100000","2016年度","","2",""
"01636","北海道 清水町","2015100000","2015年度","","2",""
"01636","北海道 清水町","2014100000","2014年度","","2",""
"01636","北海道 清水町","2013100000","2013年度","","2",""
"01636","北海道 清水町","2012100000","2012年度","","2",""
"01636","北海道 清水町","2011100000","2011年度","","2",""
"01636","北海道 清水町","2010100000","2010年度","","2",""
"01636","北海道 清水町","2009100000","2009年度","","2",""
"01636","北海道 清水町","2008100000","2008年度","","2",""
"01636","北海道 清水町","2007100000","2007年度","","2",""
"01636","北海道 清水町","2006100000","2006年度","","2",""
"01636","北海道 清水町","2005100000","2005年度","","2",""
"01636","北海道 清水町","2004100000","2004年度","","2",""
"01636","北海道 清水町","2003100000","2003年度","","2",""
"01636","北海道 清水町","2002100000","2002年度","","2",""
"01636","北海道 清水町","2001100000","2001年度","","2",""
"01636","北海道 清水町","2000100000","2000年度","","2",""
"01636","北海道 清水町","1999100000","1999年度","","2",""
"01636","北海道 清水町","1998100000","1998年度","","2",""
"01636","北海道 清水町","1997100000","1997年度","","3",""
"01637","北海道 芽室町","2019100000","2019年度","","1",""
"01637","北海道 芽室町","2018100000","2018年度","","1",""
"01637","北海道 芽室町","2017100000","2017年度","","1",""
"01637","北海道 芽室町","2016100000","2016年度","","1",""
"01637","北海道 芽室町","2015100000","2015年度","","1",""
"01637","北海道 芽室町","2014100000","2014年度","","1",""
"01637","北海道 芽室町","2013100000","2013年度","","1",""
"01637","北海道 芽室町","2012100000","2012年度","","1",""
"01637","北海道 芽室町","2011100000","2011年度","","1",""
"01637","北海道 芽室町","2010100000","2010年度","","1",""
"01637","北海道 芽室町","2009100000","2009年度","","1",""
"01637","北海道 芽室町","2008100000","2008年度","","1",""
"01637","北海道 芽室町","2007100000","2007年度","","1",""
"01637","北海道 芽室町","2006100000","2006年度","","1",""
"01637","北海道 芽室町","2005100000","2005年度","","1",""
"01637","北海道 芽室町","2004100000","2004年度","","1",""
"01637","北海道 芽室町","2003100000","2003年度","","1",""
"01637","北海道 芽室町","2002100000","2002年度","","1",""
"01637","北海道 芽室町","2001100000","2001年度","","1",""
"01637","北海道 芽室町","2000100000","2000年度","","1",""
"01637","北海道 芽室町","1999100000","1999年度","","1",""
"01637","北海道 芽室町","1998100000","1998年度","","1",""
"01637","北海道 芽室町","1997100000","1997年度","","1",""
"01638","北海道 中札内村","2019100000","2019年度","","0",""
"01638","北海道 中札内村","2018100000","2018年度","","0",""
"01638","北海道 中札内村","2017100000","2017年度","","0",""
"01638","北海道 中札内村","2016100000","2016年度","","0",""
"01638","北海道 中札内村","2015100000","2015年度","","0",""
"01638","北海道 中札内村","2014100000","2014年度","","0",""
"01638","北海道 中札内村","2013100000","2013年度","","0",""
"01638","北海道 中札内村","2012100000","2012年度","","0",""
"01638","北海道 中札内村","2011100000","2011年度","","0",""
"01638","北海道 中札内村","2010100000","2010年度","","0",""
"01638","北海道 中札内村","2009100000","2009年度","","0",""
"01638","北海道 中札内村","2008100000","2008年度","","0",""
