"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","I5101",""
"地域 コード","地域","調査年 コード","調査年","/項目","I5101_病院数【施設】","注釈"
"01104","北海道 札幌市 白石区","2012100000","2012年度","","22",""
"01104","北海道 札幌市 白石区","2011100000","2011年度","","23",""
"01104","北海道 札幌市 白石区","2010100000","2010年度","","23",""
"01104","北海道 札幌市 白石区","2009100000","2009年度","","23",""
"01104","北海道 札幌市 白石区","2008100000","2008年度","","23",""
"01104","北海道 札幌市 白石区","2007100000","2007年度","","23",""
"01104","北海道 札幌市 白石区","2006100000","2006年度","","23",""
"01104","北海道 札幌市 白石区","2005100000","2005年度","","23",""
"01104","北海道 札幌市 白石区","2004100000","2004年度","","23",""
"01104","北海道 札幌市 白石区","2003100000","2003年度","","23",""
"01104","北海道 札幌市 白石区","2002100000","2002年度","","23",""
"01104","北海道 札幌市 白石区","2001100000","2001年度","","23",""
"01104","北海道 札幌市 白石区","2000100000","2000年度","","23",""
"01104","北海道 札幌市 白石区","1999100000","1999年度","","22",""
"01104","北海道 札幌市 白石区","1998100000","1998年度","","22",""
"01104","北海道 札幌市 白石区","1997100000","1997年度","","22",""
"01105","北海道 札幌市 豊平区","2019100000","2019年度","","14",""
"01105","北海道 札幌市 豊平区","2018100000","2018年度","","14",""
"01105","北海道 札幌市 豊平区","2017100000","2017年度","","14",""
"01105","北海道 札幌市 豊平区","2016100000","2016年度","","15",""
"01105","北海道 札幌市 豊平区","2015100000","2015年度","","15",""
"01105","北海道 札幌市 豊平区","2014100000","2014年度","","17",""
"01105","北海道 札幌市 豊平区","2013100000","2013年度","","17",""
"01105","北海道 札幌市 豊平区","2012100000","2012年度","","17",""
"01105","北海道 札幌市 豊平区","2011100000","2011年度","","18",""
"01105","北海道 札幌市 豊平区","2010100000","2010年度","","18",""
"01105","北海道 札幌市 豊平区","2009100000","2009年度","","18",""
"01105","北海道 札幌市 豊平区","2008100000","2008年度","","18",""
"01105","北海道 札幌市 豊平区","2007100000","2007年度","","18",""
"01105","北海道 札幌市 豊平区","2006100000","2006年度","","18",""
"01105","北海道 札幌市 豊平区","2005100000","2005年度","","18",""
"01105","北海道 札幌市 豊平区","2004100000","2004年度","","18",""
"01105","北海道 札幌市 豊平区","2003100000","2003年度","","18",""
"01105","北海道 札幌市 豊平区","2002100000","2002年度","","18",""
"01105","北海道 札幌市 豊平区","2001100000","2001年度","","18",""
"01105","北海道 札幌市 豊平区","2000100000","2000年度","","18",""
"01105","北海道 札幌市 豊平区","1999100000","1999年度","","18",""
"01105","北海道 札幌市 豊平区","1998100000","1998年度","","19",""
"01105","北海道 札幌市 豊平区","1997100000","1997年度","","33",""
