"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"01109","北海道 札幌市 手稲区","1985100000","1985年度","","-","","-",""
"01109","北海道 札幌市 手稲区","1980100000","1980年度","","-","","-",""
"01110","北海道 札幌市 清田区","2015100000","2015年度","","13.358","","25.284",""
"01110","北海道 札幌市 清田区","2010100000","2010年度","","13.822","","19.339",""
"01110","北海道 札幌市 清田区","2005100000","2005年度","","14.689","","15.762",""
"01110","北海道 札幌市 清田区","2000100000","2000年度","","17.178","","12.537",""
"01110","北海道 札幌市 清田区","1995100000","1995年度","","-","","-",""
"01110","北海道 札幌市 清田区","1990100000","1990年度","","-","","-",""
"01110","北海道 札幌市 清田区","1985100000","1985年度","","-","","-",""
"01110","北海道 札幌市 清田区","1980100000","1980年度","","-","","-",""
"01202","北海道 函館市","2015100000","2015年度","","10.200","","32.307",""
"01202","北海道 函館市","2010100000","2010年度","","10.918","","27.456",""
"01202","北海道 函館市","2005100000","2005年度","","11.680","","23.944",""
"01202","北海道 函館市","2000100000","2000年度","","12.967","","20.260",""
"01202","北海道 函館市","1995100000","1995年度","","14.919","","16.527",""
"01202","北海道 函館市","1990100000","1990年度","","17.879","","13.215",""
"01202","北海道 函館市","1985100000","1985年度","","21.437","","10.698",""
"01202","北海道 函館市","1980100000","1980年度","","23.188","","9.187",""
"01203","北海道 小樽市","2015100000","2015年度","","9.162","","37.105",""
"01203","北海道 小樽市","2010100000","2010年度","","9.933","","31.538",""
"01203","北海道 小樽市","2005100000","2005年度","","10.609","","27.422",""
"01203","北海道 小樽市","2000100000","2000年度","","11.546","","23.395",""
"01203","北海道 小樽市","1995100000","1995年度","","12.961","","19.439",""
"01203","北海道 小樽市","1990100000","1990年度","","15.466","","15.810",""
"01203","北海道 小樽市","1985100000","1985年度","","18.944","","12.748",""
"01203","北海道 小樽市","1980100000","1980年度","","20.874","","10.797",""
"01204","北海道 旭川市","2015100000","2015年度","","10.946","","31.343",""
"01204","北海道 旭川市","2010100000","2010年度","","11.599","","26.488",""
"01204","北海道 旭川市","2005100000","2005年度","","12.444","","22.192",""
"01204","北海道 旭川市","2000100000","2000年度","","13.537","","18.320",""
"01204","北海道 旭川市","1995100000","1995年度","","15.324","","14.758",""
"01204","北海道 旭川市","1990100000","1990年度","","18.120","","11.590",""
"01204","北海道 旭川市","1985100000","1985年度","","21.607","","8.988",""
"01204","北海道 旭川市","1980100000","1980年度","","23.428","","7.374",""
"01205","北海道 室蘭市","2015100000","2015年度","","10.371","","34.007",""
"01205","北海道 室蘭市","2010100000","2010年度","","11.090","","29.300",""
"01205","北海道 室蘭市","2005100000","2005年度","","11.501","","25.690",""
"01205","北海道 室蘭市","2000100000","2000年度","","11.796","","21.387",""
"01205","北海道 室蘭市","1995100000","1995年度","","13.318","","16.831",""
"01205","北海道 室蘭市","1990100000","1990年度","","16.772","","13.229",""
"01205","北海道 室蘭市","1985100000","1985年度","","21.452","","9.873",""
"01205","北海道 室蘭市","1980100000","1980年度","","24.585","","7.445",""
"01206","北海道 釧路市","2015100000","2015年度","","11.102","","30.254",""
"01206","北海道 釧路市","2010100000","2010年度","","12.018","","25.245",""
"01206","北海道 釧路市","2005100000","2005年度","","12.958","","21.180",""
"01206","北海道 釧路市","2000100000","2000年度","","14.110","","16.925",""
"01206","北海道 釧路市","1995100000","1995年度","","16.177","","12.955",""
"01206","北海道 釧路市","1990100000","1990年度","","19.378","","9.982",""
"01206","北海道 釧路市","1985100000","1985年度","","22.906","","7.613",""
"01206","北海道 釧路市","1980100000","1980年度","","24.929","","6.190",""
"01207","北海道 帯広市","2015100000","2015年度","","12.146","","26.361",""
"01207","北海道 帯広市","2010100000","2010年度","","12.777","","22.340",""
"01207","北海道 帯広市","2005100000","2005年度","","13.992","","18.973",""
"01207","北海道 帯広市","2000100000","2000年度","","15.649","","15.286",""
"01207","北海道 帯広市","1995100000","1995年度","","17.381","","12.079",""
"01207","北海道 帯広市","1990100000","1990年度","","19.691","","9.508",""
"01207","北海道 帯広市","1985100000","1985年度","","22.456","","7.768",""
"01207","北海道 帯広市","1980100000","1980年度","","24.226","","6.638",""
"01208","北海道 北見市","2015100000","2015年度","","11.194","","30.057",""
"01208","北海道 北見市","2010100000","2010年度","","12.159","","25.358",""
"01208","北海道 北見市","2005100000","2005年度","","13.333","","21.631",""
"01208","北海道 北見市","2000100000","2000年度","","14.542","","17.892",""
"01208","北海道 北見市","1995100000","1995年度","","16.292","","14.432",""
"01208","北海道 北見市","1990100000","1990年度","","18.902","","11.376",""
"01208","北海道 北見市","1985100000","1985年度","","22.133","","9.135",""
"01208","北海道 北見市","1980100000","1980年度","","23.753","","7.539",""
"01209","北海道 夕張市","2015100000","2015年度","","5.654","","48.581",""
"01209","北海道 夕張市","2010100000","2010年度","","6.583","","43.820",""
"01209","北海道 夕張市","2005100000","2005年度","","7.861","","39.689",""
"01209","北海道 夕張市","2000100000","2000年度","","8.924","","33.595",""
"01209","北海道 夕張市","1995100000","1995年度","","10.516","","25.923",""
"01209","北海道 夕張市","1990100000","1990年度","","13.348","","18.370",""
"01209","北海道 夕張市","1985100000","1985年度","","17.815","","11.498",""
"01209","北海道 夕張市","1980100000","1980年度","","20.036","","9.076",""
"01210","北海道 岩見沢市","2015100000","2015年度","","10.631","","32.548",""
"01210","北海道 岩見沢市","2010100000","2010年度","","11.374","","27.769",""
"01210","北海道 岩見沢市","2005100000","2005年度","","12.338","","24.058",""
"01210","北海道 岩見沢市","2000100000","2000年度","","13.776","","20.553",""
"01210","北海道 岩見沢市","1995100000","1995年度","","15.329","","16.878",""
