"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","#A03504","","#A03506",""
"地域 コード","地域","調査年 コード","調査年","/項目","#A03504_15歳未満人口割合【％】","注釈","#A03506_65歳以上人口割合【％】","注釈"
"05211","秋田県 潟上市","2015100000","2015年度","","11.244","","31.255",""
"05211","秋田県 潟上市","2010100000","2010年度","","12.331","","25.867",""
"05211","秋田県 潟上市","2005100000","2005年度","","13.754","","22.433",""
"05211","秋田県 潟上市","2000100000","2000年度","","14.545","","19.372",""
"05211","秋田県 潟上市","1995100000","1995年度","","16.108","","16.163",""
"05211","秋田県 潟上市","1990100000","1990年度","","19.020","","12.731",""
"05211","秋田県 潟上市","1985100000","1985年度","","21.725","","10.376",""
"05211","秋田県 潟上市","1980100000","1980年度","","22.961","","8.567",""
"05212","秋田県 大仙市","2015100000","2015年度","","10.540","","34.619",""
"05212","秋田県 大仙市","2010100000","2010年度","","11.034","","31.618",""
"05212","秋田県 大仙市","2005100000","2005年度","","12.034","","29.607",""
"05212","秋田県 大仙市","2000100000","2000年度","","13.450","","25.807",""
"05212","秋田県 大仙市","1995100000","1995年度","","15.279","","21.307",""
"05212","秋田県 大仙市","1990100000","1990年度","","17.496","","16.856",""
"05212","秋田県 大仙市","1985100000","1985年度","","19.146","","13.707",""
"05212","秋田県 大仙市","1980100000","1980年度","","19.625","","11.481",""
"05213","秋田県 北秋田市","2015100000","2015年度","","8.825","","40.504",""
"05213","秋田県 北秋田市","2010100000","2010年度","","9.841","","36.409",""
"05213","秋田県 北秋田市","2005100000","2005年度","","11.134","","32.860",""
"05213","秋田県 北秋田市","2000100000","2000年度","","12.466","","28.873",""
"05213","秋田県 北秋田市","1995100000","1995年度","","13.997","","23.880",""
"05213","秋田県 北秋田市","1990100000","1990年度","","16.183","","19.010",""
"05213","秋田県 北秋田市","1985100000","1985年度","","18.204","","15.333",""
"05213","秋田県 北秋田市","1980100000","1980年度","","19.711","","12.390",""
"05214","秋田県 にかほ市","2015100000","2015年度","","11.076","","34.378",""
"05214","秋田県 にかほ市","2010100000","2010年度","","12.151","","28.946",""
"05214","秋田県 にかほ市","2005100000","2005年度","","13.199","","26.602",""
"05214","秋田県 にかほ市","2000100000","2000年度","","14.509","","23.202",""
"05214","秋田県 にかほ市","1995100000","1995年度","","16.505","","19.138",""
"05214","秋田県 にかほ市","1990100000","1990年度","","19.090","","14.907",""
"05214","秋田県 にかほ市","1985100000","1985年度","","20.825","","12.203",""
"05214","秋田県 にかほ市","1980100000","1980年度","","21.719","","10.949",""
"05215","秋田県 仙北市","2015100000","2015年度","","9.955","","38.379",""
"05215","秋田県 仙北市","2010100000","2010年度","","10.751","","33.573",""
"05215","秋田県 仙北市","2005100000","2005年度","","11.152","","30.868",""
"05215","秋田県 仙北市","2000100000","2000年度","","12.433","","26.826",""
"05215","秋田県 仙北市","1995100000","1995年度","","14.488","","22.238",""
"05215","秋田県 仙北市","1990100000","1990年度","","17.205","","17.034",""
"05215","秋田県 仙北市","1985100000","1985年度","","19.373","","13.748",""
"05215","秋田県 仙北市","1980100000","1980年度","","19.968","","11.231",""
"05303","秋田県 小坂町","2015100000","2015年度","","8.934","","41.674",""
"05303","秋田県 小坂町","2010100000","2010年度","","10.076","","36.488",""
"05303","秋田県 小坂町","2005100000","2005年度","","11.665","","32.957",""
"05303","秋田県 小坂町","2000100000","2000年度","","12.021","","29.006",""
"05303","秋田県 小坂町","1995100000","1995年度","","13.164","","24.341",""
"05303","秋田県 小坂町","1990100000","1990年度","","14.325","","20.585",""
"05303","秋田県 小坂町","1985100000","1985年度","","16.458","","14.690",""
"05303","秋田県 小坂町","1980100000","1980年度","","19.827","","12.160",""
"05327","秋田県 上小阿仁村","2015100000","2015年度","","5.922","","48.677",""
"05327","秋田県 上小阿仁村","2010100000","2010年度","","7.811","","44.554",""
"05327","秋田県 上小阿仁村","2005100000","2005年度","","9.302","","40.393",""
"05327","秋田県 上小阿仁村","2000100000","2000年度","","10.775","","35.530",""
"05327","秋田県 上小阿仁村","1995100000","1995年度","","12.412","","30.200",""
"05327","秋田県 上小阿仁村","1990100000","1990年度","","14.229","","23.972",""
"05327","秋田県 上小阿仁村","1985100000","1985年度","","16.132","","18.465",""
"05327","秋田県 上小阿仁村","1980100000","1980年度","","17.601","","14.683",""
"05346","秋田県 藤里町","2015100000","2015年度","","8.008","","43.614",""
"05346","秋田県 藤里町","2010100000","2010年度","","8.940","","39.163",""
"05346","秋田県 藤里町","2005100000","2005年度","","9.591","","35.511",""
"05346","秋田県 藤里町","2000100000","2000年度","","11.109","","31.330",""
"05346","秋田県 藤里町","1995100000","1995年度","","12.321","","26.732",""
"05346","秋田県 藤里町","1990100000","1990年度","","15.215","","21.376",""
"05346","秋田県 藤里町","1985100000","1985年度","","16.774","","17.824",""
"05346","秋田県 藤里町","1980100000","1980年度","","18.999","","14.511",""
"05348","秋田県 三種町","2015100000","2015年度","","8.508","","39.618",""
"05348","秋田県 三種町","2010100000","2010年度","","9.594","","34.626",""
"05348","秋田県 三種町","2005100000","2005年度","","11.523","","30.536",""
"05348","秋田県 三種町","2000100000","2000年度","","13.341","","26.845",""
"05348","秋田県 三種町","1995100000","1995年度","","15.429","","21.503",""
"05348","秋田県 三種町","1990100000","1990年度","","17.482","","17.548",""
"05348","秋田県 三種町","1985100000","1985年度","","19.541","","14.085",""
"05348","秋田県 三種町","1980100000","1980年度","","20.967","","11.491",""
"05349","秋田県 八峰町","2015100000","2015年度","","8.072","","41.675",""
"05349","秋田県 八峰町","2010100000","2010年度","","9.878","","35.754",""
"05349","秋田県 八峰町","2005100000","2005年度","","11.152","","32.701",""
"05349","秋田県 八峰町","2000100000","2000年度","","12.992","","28.604",""
"05349","秋田県 八峰町","1995100000","1995年度","","14.549","","23.387",""
"05349","秋田県 八峰町","1990100000","1990年度","","16.793","","19.003",""
"05349","秋田県 八峰町","1985100000","1985年度","","19.100","","15.764",""
"05349","秋田県 八峰町","1980100000","1980年度","","20.717","","13.422",""
"05361","秋田県 五城目町","2015100000","2015年度","","7.989","","41.773",""
"05361","秋田県 五城目町","2010100000","2010年度","","8.672","","36.906",""
"05361","秋田県 五城目町","2005100000","2005年度","","9.985","","33.216",""
"05361","秋田県 五城目町","2000100000","2000年度","","11.672","","28.371",""
"05361","秋田県 五城目町","1995100000","1995年度","","13.469","","23.364",""
"05361","秋田県 五城目町","1990100000","1990年度","","15.811","","18.791",""
"05361","秋田県 五城目町","1985100000","1985年度","","18.090","","15.325",""
"05361","秋田県 五城目町","1980100000","1980年度","","19.934","","12.549",""
"05363","秋田県 八郎潟町","2015100000","2015年度","","9.309","","37.270",""
"05363","秋田県 八郎潟町","2010100000","2010年度","","10.297","","31.134",""
"05363","秋田県 八郎潟町","2005100000","2005年度","","11.124","","28.662",""
"05363","秋田県 八郎潟町","2000100000","2000年度","","13.301","","23.935",""
"05363","秋田県 八郎潟町","1995100000","1995年度","","15.821","","19.220",""
"05363","秋田県 八郎潟町","1990100000","1990年度","","18.817","","14.831",""
"05363","秋田県 八郎潟町","1985100000","1985年度","","20.767","","11.591",""
"05363","秋田県 八郎潟町","1980100000","1980年度","","21.269","","9.492",""
"05366","秋田県 井川町","2015100000","2015年度","","9.246","","37.605",""
"05366","秋田県 井川町","2010100000","2010年度","","11.105","","31.950",""
"05366","秋田県 井川町","2005100000","2005年度","","12.810","","28.887",""
"05366","秋田県 井川町","2000100000","2000年度","","12.950","","25.965",""
"05366","秋田県 井川町","1995100000","1995年度","","14.433","","20.055",""
"05366","秋田県 井川町","1990100000","1990年度","","16.794","","16.381",""
"05366","秋田県 井川町","1985100000","1985年度","","19.490","","13.553",""
"05366","秋田県 井川町","1980100000","1980年度","","20.768","","11.865",""
"05368","秋田県 大潟村","2015100000","2015年度","","13.794","","30.900",""
"05368","秋田県 大潟村","2010100000","2010年度","","15.724","","25.730",""
"05368","秋田県 大潟村","2005100000","2005年度","","17.076","","20.823",""
"05368","秋田県 大潟村","2000100000","2000年度","","16.190","","14.535",""
"05368","秋田県 大潟村","1995100000","1995年度","","16.762","","10.692",""
"05368","秋田県 大潟村","1990100000","1990年度","","19.203","","8.856",""
"05368","秋田県 大潟村","1985100000","1985年度","","26.030","","7.283",""
"05368","秋田県 大潟村","1980100000","1980年度","","30.114","","5.789",""
"05434","秋田県 美郷町","2015100000","2015年度","","10.326","","35.312",""
"05434","秋田県 美郷町","2010100000","2010年度","","10.930","","31.609",""
"05434","秋田県 美郷町","2005100000","2005年度","","12.011","","29.651",""
"05434","秋田県 美郷町","2000100000","2000年度","","13.785","","26.567",""
"05434","秋田県 美郷町","1995100000","1995年度","","16.103","","22.293",""
"05434","秋田県 美郷町","1990100000","1990年度","","18.159","","17.578",""
"05434","秋田県 美郷町","1985100000","1985年度","","18.894","","14.679",""
"05434","秋田県 美郷町","1980100000","1980年度","","18.994","","12.331",""
"05463","秋田県 羽後町","2015100000","2015年度","","9.720","","35.146",""
"05463","秋田県 羽後町","2010100000","2010年度","","10.993","","31.825",""
"05463","秋田県 羽後町","2005100000","2005年度","","12.443","","30.536",""
"05463","秋田県 羽後町","2000100000","2000年度","","14.693","","27.354",""
"05463","秋田県 羽後町","1995100000","1995年度","","17.373","","22.638",""
"05463","秋田県 羽後町","1990100000","1990年度","","19.219","","17.612",""
"05463","秋田県 羽後町","1985100000","1985年度","","19.635","","13.992",""
"05463","秋田県 羽後町","1980100000","1980年度","","19.337","","11.566",""
"05464","秋田県 東成瀬村","2015100000","2015年度","","10.153","","36.475",""
"05464","秋田県 東成瀬村","2010100000","2010年度","","11.490","","33.426",""
"05464","秋田県 東成瀬村","2005100000","2005年度","","11.761","","32.170",""
"05464","秋田県 東成瀬村","2000100000","2000年度","","12.625","","29.528",""
"05464","秋田県 東成瀬村","1995100000","1995年度","","15.331","","25.645",""
"05464","秋田県 東成瀬村","1990100000","1990年度","","17.809","","20.461",""
"05464","秋田県 東成瀬村","1985100000","1985年度","","19.068","","15.532",""
"05464","秋田県 東成瀬村","1980100000","1980年度","","18.948","","13.139",""
"06201","山形県 山形市","2015100000","2015年度","","12.555","","27.083",""
"06201","山形県 山形市","2010100000","2010年度","","13.116","","23.946",""
"06201","山形県 山形市","2005100000","2005年度","","13.838","","21.702",""
"06201","山形県 山形市","2000100000","2000年度","","14.716","","19.540",""
"06201","山形県 山形市","1995100000","1995年度","","16.154","","16.750",""
"06201","山形県 山形市","1990100000","1990年度","","18.416","","13.761",""
"06201","山形県 山形市","1985100000","1985年度","","20.770","","11.181",""
"06201","山形県 山形市","1980100000","1980年度","","22.131","","9.630",""
"06202","山形県 米沢市","2015100000","2015年度","","12.287","","28.297",""
"06202","山形県 米沢市","2010100000","2010年度","","12.950","","25.613",""
"06202","山形県 米沢市","2005100000","2005年度","","13.746","","23.585",""
"06202","山形県 米沢市","2000100000","2000年度","","14.821","","20.988",""
"06202","山形県 米沢市","1995100000","1995年度","","16.100","","18.547",""
"06202","山形県 米沢市","1990100000","1990年度","","17.889","","15.398",""
"06202","山形県 米沢市","1985100000","1985年度","","19.825","","12.721",""
"06202","山形県 米沢市","1980100000","1980年度","","21.455","","10.871",""
"06203","山形県 鶴岡市","2015100000","2015年度","","11.837","","31.857",""
"06203","山形県 鶴岡市","2010100000","2010年度","","12.829","","28.708",""
"06203","山形県 鶴岡市","2005100000","2005年度","","13.834","","26.429",""
"06203","山形県 鶴岡市","2000100000","2000年度","","15.213","","23.735",""
"06203","山形県 鶴岡市","1995100000","1995年度","","16.810","","20.498",""
"06203","山形県 鶴岡市","1990100000","1990年度","","18.579","","17.092",""
"06203","山形県 鶴岡市","1985100000","1985年度","","20.270","","14.258",""
"06203","山形県 鶴岡市","1980100000","1980年度","","21.051","","12.424",""
"06204","山形県 酒田市","2015100000","2015年度","","11.453","","32.489",""
"06204","山形県 酒田市","2010100000","2010年度","","12.706","","28.641",""
"06204","山形県 酒田市","2005100000","2005年度","","13.657","","25.933",""
"06204","山形県 酒田市","2000100000","2000年度","","14.872","","23.016",""
"06204","山形県 酒田市","1995100000","1995年度","","16.421","","19.643",""
"06204","山形県 酒田市","1990100000","1990年度","","18.458","","15.858",""
"06204","山形県 酒田市","1985100000","1985年度","","20.596","","13.014",""
"06204","山形県 酒田市","1980100000","1980年度","","21.682","","10.948",""
"06205","山形県 新庄市","2015100000","2015年度","","12.628","","29.907",""
"06205","山形県 新庄市","2010100000","2010年度","","13.910","","26.595",""
"06205","山形県 新庄市","2005100000","2005年度","","15.031","","24.295",""
"06205","山形県 新庄市","2000100000","2000年度","","16.144","","21.532",""
"06205","山形県 新庄市","1995100000","1995年度","","17.470","","18.170",""
"06205","山形県 新庄市","1990100000","1990年度","","19.532","","14.365",""
"06205","山形県 新庄市","1985100000","1985年度","","21.398","","11.652",""
"06205","山形県 新庄市","1980100000","1980年度","","22.218","","9.606",""
"06206","山形県 寒河江市","2015100000","2015年度","","13.111","","29.634",""
"06206","山形県 寒河江市","2010100000","2010年度","","13.683","","26.536",""
"06206","山形県 寒河江市","2005100000","2005年度","","14.577","","24.793",""
"06206","山形県 寒河江市","2000100000","2000年度","","15.975","","22.469",""
"06206","山形県 寒河江市","1995100000","1995年度","","17.540","","19.650",""
"06206","山形県 寒河江市","1990100000","1990年度","","19.339","","16.083",""
"06206","山形県 寒河江市","1985100000","1985年度","","20.711","","13.383",""
"06206","山形県 寒河江市","1980100000","1980年度","","21.153","","11.837",""
"06207","山形県 上山市","2015100000","2015年度","","10.213","","35.218",""
"06207","山形県 上山市","2010100000","2010年度","","11.160","","31.328",""
"06207","山形県 上山市","2005100000","2005年度","","12.357","","28.479",""
"06207","山形県 上山市","2000100000","2000年度","","13.577","","25.460",""
"06207","山形県 上山市","1995100000","1995年度","","15.192","","21.836",""
"06207","山形県 上山市","1990100000","1990年度","","17.185","","17.828",""
"06207","山形県 上山市","1985100000","1985年度","","19.345","","14.391",""
"06207","山形県 上山市","1980100000","1980年度","","20.232","","12.688",""
"06208","山形県 村山市","2015100000","2015年度","","10.837","","34.954",""
"06208","山形県 村山市","2010100000","2010年度","","12.055","","31.599",""
"06208","山形県 村山市","2005100000","2005年度","","13.131","","29.838",""
"06208","山形県 村山市","2000100000","2000年度","","14.672","","27.733",""
"06208","山形県 村山市","1995100000","1995年度","","16.479","","23.192",""
"06208","山形県 村山市","1990100000","1990年度","","18.285","","18.668",""
"06208","山形県 村山市","1985100000","1985年度","","19.134","","15.936",""
"06208","山形県 村山市","1980100000","1980年度","","18.896","","13.847",""
"06209","山形県 長井市","2015100000","2015年度","","11.929","","32.853",""
"06209","山形県 長井市","2010100000","2010年度","","12.852","","29.739",""
"06209","山形県 長井市","2005100000","2005年度","","13.835","","27.372",""
"06209","山形県 長井市","2000100000","2000年度","","15.087","","24.394",""
"06209","山形県 長井市","1995100000","1995年度","","16.497","","20.931",""
"06209","山形県 長井市","1990100000","1990年度","","18.046","","17.508",""
"06209","山形県 長井市","1985100000","1985年度","","19.961","","14.222",""
"06209","山形県 長井市","1980100000","1980年度","","20.615","","12.795",""
"06210","山形県 天童市","2015100000","2015年度","","13.177","","27.569",""
"06210","山形県 天童市","2010100000","2010年度","","13.847","","24.223",""
"06210","山形県 天童市","2005100000","2005年度","","14.697","","21.550",""
"06210","山形県 天童市","2000100000","2000年度","","15.828","","18.970",""
"06210","山形県 天童市","1995100000","1995年度","","17.257","","16.666",""
"06210","山形県 天童市","1990100000","1990年度","","19.228","","14.245",""
"06210","山形県 天童市","1985100000","1985年度","","21.438","","11.864",""
"06210","山形県 天童市","1980100000","1980年度","","22.330","","10.415",""
"06211","山形県 東根市","2015100000","2015年度","","14.254","","26.130",""
"06211","山形県 東根市","2010100000","2010年度","","14.401","","24.398",""
"06211","山形県 東根市","2005100000","2005年度","","14.683","","23.216",""
"06211","山形県 東根市","2000100000","2000年度","","15.629","","20.835",""
"06211","山形県 東根市","1995100000","1995年度","","16.967","","18.133",""
"06211","山形県 東根市","1990100000","1990年度","","18.905","","14.680",""
"06211","山形県 東根市","1985100000","1985年度","","20.277","","12.561",""
"06211","山形県 東根市","1980100000","1980年度","","20.992","","11.415",""
"06212","山形県 尾花沢市","2015100000","2015年度","","10.889","","36.743",""
"06212","山形県 尾花沢市","2010100000","2010年度","","11.480","","32.514",""
"06212","山形県 尾花沢市","2005100000","2005年度","","12.534","","31.090",""
"06212","山形県 尾花沢市","2000100000","2000年度","","14.107","","27.865",""
"06212","山形県 尾花沢市","1995100000","1995年度","","16.483","","23.107",""
"06212","山形県 尾花沢市","1990100000","1990年度","","18.817","","18.445",""
"06212","山形県 尾花沢市","1985100000","1985年度","","19.620","","15.213",""
"06212","山形県 尾花沢市","1980100000","1980年度","","19.448","","12.822",""
"06213","山形県 南陽市","2015100000","2015年度","","12.114","","31.070",""
"06213","山形県 南陽市","2010100000","2010年度","","12.764","","28.359",""
"06213","山形県 南陽市","2005100000","2005年度","","13.754","","26.493",""
"06213","山形県 南陽市","2000100000","2000年度","","15.410","","24.343",""
"06213","山形県 南陽市","1995100000","1995年度","","17.145","","20.706",""
"06213","山形県 南陽市","1990100000","1990年度","","18.850","","17.148",""
"06213","山形県 南陽市","1985100000","1985年度","","20.288","","14.330",""
"06213","山形県 南陽市","1980100000","1980年度","","20.768","","13.110",""
"06301","山形県 山辺町","2015100000","2015年度","","11.852","","30.489",""
"06301","山形県 山辺町","2010100000","2010年度","","12.636","","27.518",""
"06301","山形県 山辺町","2005100000","2005年度","","12.825","","26.383",""
"06301","山形県 山辺町","2000100000","2000年度","","14.995","","24.626",""
"06301","山形県 山辺町","1995100000","1995年度","","17.171","","20.356",""
"06301","山形県 山辺町","1990100000","1990年度","","18.867","","17.135",""
"06301","山形県 山辺町","1985100000","1985年度","","19.883","","14.093",""
"06301","山形県 山辺町","1980100000","1980年度","","20.517","","12.667",""
"06302","山形県 中山町","2015100000","2015年度","","11.379","","31.418",""
"06302","山形県 中山町","2010100000","2010年度","","12.443","","27.665",""
"06302","山形県 中山町","2005100000","2005年度","","13.902","","25.561",""
"06302","山形県 中山町","2000100000","2000年度","","15.183","","23.447",""
"06302","山形県 中山町","1995100000","1995年度","","17.320","","21.219",""
"06302","山形県 中山町","1990100000","1990年度","","19.247","","18.075",""
"06302","山形県 中山町","1985100000","1985年度","","19.902","","15.135",""
"06302","山形県 中山町","1980100000","1980年度","","19.460","","13.954",""
"06321","山形県 河北町","2015100000","2015年度","","11.788","","33.553",""
"06321","山形県 河北町","2010100000","2010年度","","12.230","","29.806",""
"06321","山形県 河北町","2005100000","2005年度","","13.140","","28.055",""
"06321","山形県 河北町","2000100000","2000年度","","14.812","","25.419",""
"06321","山形県 河北町","1995100000","1995年度","","17.209","","22.143",""
"06321","山形県 河北町","1990100000","1990年度","","19.249","","19.007",""
"06321","山形県 河北町","1985100000","1985年度","","20.013","","16.436",""
"06321","山形県 河北町","1980100000","1980年度","","19.680","","14.835",""
"06322","山形県 西川町","2015100000","2015年度","","9.759","","40.046",""
"06322","山形県 西川町","2010100000","2010年度","","10.829","","36.268",""
"06322","山形県 西川町","2005100000","2005年度","","11.797","","34.495",""
"06322","山形県 西川町","2000100000","2000年度","","13.070","","32.032",""
"06322","山形県 西川町","1995100000","1995年度","","15.192","","26.742",""
"06322","山形県 西川町","1990100000","1990年度","","17.243","","21.896",""
"06322","山形県 西川町","1985100000","1985年度","","17.033","","17.517",""
"06322","山形県 西川町","1980100000","1980年度","","17.122","","15.634",""
"06323","山形県 朝日町","2015100000","2015年度","","9.763","","39.416",""
"06323","山形県 朝日町","2010100000","2010年度","","10.463","","35.616",""
"06323","山形県 朝日町","2005100000","2005年度","","11.544","","33.469",""
"06323","山形県 朝日町","2000100000","2000年度","","13.795","","30.845",""
"06323","山形県 朝日町","1995100000","1995年度","","15.938","","27.009",""
"06323","山形県 朝日町","1990100000","1990年度","","18.201","","22.415",""
"06323","山形県 朝日町","1985100000","1985年度","","19.007","","18.308",""
"06323","山形県 朝日町","1980100000","1980年度","","19.129","","16.635",""
"06324","山形県 大江町","2015100000","2015年度","","10.765","","35.883",""
"06324","山形県 大江町","2010100000","2010年度","","11.477","","32.329",""
"06324","山形県 大江町","2005100000","2005年度","","12.678","","31.286",""
"06324","山形県 大江町","2000100000","2000年度","","14.441","","28.949",""
"06324","山形県 大江町","1995100000","1995年度","","16.143","","25.178",""
"06324","山形県 大江町","1990100000","1990年度","","17.727","","21.429",""
"06324","山形県 大江町","1985100000","1985年度","","19.139","","17.675",""
"06324","山形県 大江町","1980100000","1980年度","","19.219","","15.157",""
"06341","山形県 大石田町","2015100000","2015年度","","11.064","","34.756",""
"06341","山形県 大石田町","2010100000","2010年度","","11.716","","30.797",""
"06341","山形県 大石田町","2005100000","2005年度","","12.761","","28.558",""
"06341","山形県 大石田町","2000100000","2000年度","","13.894","","26.553",""
"06341","山形県 大石田町","1995100000","1995年度","","16.735","","23.239",""
"06341","山形県 大石田町","1990100000","1990年度","","19.705","","18.927",""
"06341","山形県 大石田町","1985100000","1985年度","","20.690","","15.330",""
"06341","山形県 大石田町","1980100000","1980年度","","19.906","","13.196",""
"06361","山形県 金山町","2015100000","2015年度","","12.078","","32.184",""
"06361","山形県 金山町","2010100000","2010年度","","12.930","","29.804",""
"06361","山形県 金山町","2005100000","2005年度","","14.088","","27.601",""
"06361","山形県 金山町","2000100000","2000年度","","16.380","","25.119",""
"06361","山形県 金山町","1995100000","1995年度","","18.278","","21.539",""
"06361","山形県 金山町","1990100000","1990年度","","20.733","","16.941",""
"06361","山形県 金山町","1985100000","1985年度","","21.443","","13.504",""
"06361","山形県 金山町","1980100000","1980年度","","21.426","","11.111",""
"06362","山形県 最上町","2015100000","2015年度","","11.099","","34.633",""
"06362","山形県 最上町","2010100000","2010年度","","11.780","","31.370",""
"06362","山形県 最上町","2005100000","2005年度","","13.270","","29.876",""
"06362","山形県 最上町","2000100000","2000年度","","15.127","","26.648",""
"06362","山形県 最上町","1995100000","1995年度","","17.587","","22.425",""
"06362","山形県 最上町","1990100000","1990年度","","19.967","","17.917",""
"06362","山形県 最上町","1985100000","1985年度","","20.750","","14.331",""
"06362","山形県 最上町","1980100000","1980年度","","20.288","","11.873",""
"06363","山形県 舟形町","2015100000","2015年度","","10.584","","36.406",""
"06363","山形県 舟形町","2010100000","2010年度","","10.691","","33.420",""
"06363","山形県 舟形町","2005100000","2005年度","","11.572","","31.794",""
"06363","山形県 舟形町","2000100000","2000年度","","14.380","","27.630",""
"06363","山形県 舟形町","1995100000","1995年度","","17.572","","23.006",""
"06363","山形県 舟形町","1990100000","1990年度","","20.087","","17.166",""
"06363","山形県 舟形町","1985100000","1985年度","","20.480","","13.838",""
"06363","山形県 舟形町","1980100000","1980年度","","19.793","","12.245",""
"06364","山形県 真室川町","2015100000","2015年度","","10.348","","36.783",""
"06364","山形県 真室川町","2010100000","2010年度","","10.300","","32.471",""
"06364","山形県 真室川町","2005100000","2005年度","","12.403","","30.456",""
"06364","山形県 真室川町","2000100000","2000年度","","14.653","","26.879",""
"06364","山形県 真室川町","1995100000","1995年度","","16.654","","22.349",""
"06364","山形県 真室川町","1990100000","1990年度","","18.790","","17.261",""
"06364","山形県 真室川町","1985100000","1985年度","","20.514","","13.387",""
"06364","山形県 真室川町","1980100000","1980年度","","20.686","","11.484",""
"06365","山形県 大蔵村","2015100000","2015年度","","12.163","","34.349",""
"06365","山形県 大蔵村","2010100000","2010年度","","11.669","","32.190",""
"06365","山形県 大蔵村","2005100000","2005年度","","13.251","","30.028",""
"06365","山形県 大蔵村","2000100000","2000年度","","15.835","","27.032",""
"06365","山形県 大蔵村","1995100000","1995年度","","18.178","","23.113",""
"06365","山形県 大蔵村","1990100000","1990年度","","19.711","","17.844",""
"06365","山形県 大蔵村","1985100000","1985年度","","20.680","","14.684",""
"06365","山形県 大蔵村","1980100000","1980年度","","21.354","","12.488",""
"06366","山形県 鮭川村","2015100000","2015年度","","10.239","","35.650",""
"06366","山形県 鮭川村","2010100000","2010年度","","11.600","","31.633",""
"06366","山形県 鮭川村","2005100000","2005年度","","13.439","","29.943",""
"06366","山形県 鮭川村","2000100000","2000年度","","15.200","","26.608",""
"06366","山形県 鮭川村","1995100000","1995年度","","17.383","","22.406",""
"06366","山形県 鮭川村","1990100000","1990年度","","19.074","","17.402",""
"06366","山形県 鮭川村","1985100000","1985年度","","20.239","","13.452",""
"06366","山形県 鮭川村","1980100000","1980年度","","19.684","","11.226",""
"06367","山形県 戸沢村","2015100000","2015年度","","9.533","","35.240",""
"06367","山形県 戸沢村","2010100000","2010年度","","10.520","","31.806",""
"06367","山形県 戸沢村","2005100000","2005年度","","13.068","","30.093",""
"06367","山形県 戸沢村","2000100000","2000年度","","15.008","","26.992",""
"06367","山形県 戸沢村","1995100000","1995年度","","17.416","","22.000",""
"06367","山形県 戸沢村","1990100000","1990年度","","19.743","","17.743",""
"06367","山形県 戸沢村","1985100000","1985年度","","20.590","","14.378",""
"06367","山形県 戸沢村","1980100000","1980年度","","20.655","","12.248",""
"06381","山形県 高畠町","2015100000","2015年度","","12.985","","30.094",""
"06381","山形県 高畠町","2010100000","2010年度","","13.702","","26.857",""
"06381","山形県 高畠町","2005100000","2005年度","","14.351","","25.478",""
"06381","山形県 高畠町","2000100000","2000年度","","15.578","","23.259",""
"06381","山形県 高畠町","1995100000","1995年度","","17.401","","20.857",""
"06381","山形県 高畠町","1990100000","1990年度","","19.829","","17.226",""
"06381","山形県 高畠町","1985100000","1985年度","","21.232","","14.397",""
"06381","山形県 高畠町","1980100000","1980年度","","20.958","","12.992",""
"06382","山形県 川西町","2015100000","2015年度","","11.104","","33.896",""
"06382","山形県 川西町","2010100000","2010年度","","11.281","","31.098",""
"06382","山形県 川西町","2005100000","2005年度","","12.110","","29.703",""
"06382","山形県 川西町","2000100000","2000年度","","13.694","","26.676",""
"06382","山形県 川西町","1995100000","1995年度","","16.230","","22.539",""
"06382","山形県 川西町","1990100000","1990年度","","18.266","","17.417",""
"06382","山形県 川西町","1985100000","1985年度","","19.279","","14.578",""
"06382","山形県 川西町","1980100000","1980年度","","18.285","","13.125",""
"06401","山形県 小国町","2015100000","2015年度","","11.007","","36.807",""
"06401","山形県 小国町","2010100000","2010年度","","12.074","","33.582",""
"06401","山形県 小国町","2005100000","2005年度","","13.283","","31.174",""
"06401","山形県 小国町","2000100000","2000年度","","14.481","","27.607",""
"06401","山形県 小国町","1995100000","1995年度","","15.856","","23.369",""
"06401","山形県 小国町","1990100000","1990年度","","17.154","","19.054",""
"06401","山形県 小国町","1985100000","1985年度","","18.204","","14.840",""
"06401","山形県 小国町","1980100000","1980年度","","19.164","","11.587",""
"06402","山形県 白鷹町","2015100000","2015年度","","11.647","","34.441",""
"06402","山形県 白鷹町","2010100000","2010年度","","12.263","","31.200",""
"06402","山形県 白鷹町","2005100000","2005年度","","13.441","","29.870",""
"06402","山形県 白鷹町","2000100000","2000年度","","15.068","","27.617",""
"06402","山形県 白鷹町","1995100000","1995年度","","17.028","","24.579",""
"06402","山形県 白鷹町","1990100000","1990年度","","18.369","","20.655",""
"06402","山形県 白鷹町","1985100000","1985年度","","19.000","","17.710",""
"06402","山形県 白鷹町","1980100000","1980年度","","19.048","","16.237",""
"06403","山形県 飯豊町","2015100000","2015年度","","11.501","","34.707",""
"06403","山形県 飯豊町","2010100000","2010年度","","11.822","","31.600",""
"06403","山形県 飯豊町","2005100000","2005年度","","12.339","","31.091",""
"06403","山形県 飯豊町","2000100000","2000年度","","14.396","","28.498",""
"06403","山形県 飯豊町","1995100000","1995年度","","17.194","","24.649",""
"06403","山形県 飯豊町","1990100000","1990年度","","19.038","","19.271",""
