地域コード,地域,調査年コード,調査年,15歳未満人口割合,65歳以上人口割合,課税対象所得
1207,北海道 帯広市,2015,2015年度,12.146,26.361,211286467.0
1207,北海道 帯広市,2010,2010年度,12.777,22.34,201882203.0
1207,北海道 帯広市,2005,2005年度,13.992,18.973,218355637.0
1207,北海道 帯広市,2000,2000年度,15.649,15.286,243896953.0
1207,北海道 帯広市,1995,1995年度,17.381,12.079,237817890.0
1207,北海道 帯広市,1990,1990年度,19.691,9.508,180931144.0
1208,北海道 北見市,2015,2015年度,11.194,30.057,140845591.0
1208,北海道 北見市,2010,2010年度,12.159,25.358,137802813.0
1208,北海道 北見市,2005,2005年度,13.333,21.631,149864915.0
1208,北海道 北見市,2000,2000年度,14.542,17.892,163313297.0
1208,北海道 北見市,1995,1995年度,16.292,14.432,162915259.0
1208,北海道 北見市,1990,1990年度,18.902,11.376,127792127.0
1209,北海道 夕張市,2015,2015年度,5.654,48.581,7377411.0
1209,北海道 夕張市,2010,2010年度,6.583,43.82,8515333.0
1209,北海道 夕張市,2005,2005年度,7.861,39.689,11851029.0
1209,北海道 夕張市,2000,2000年度,8.924,33.595,14126831.0
1209,北海道 夕張市,1995,1995年度,10.516,25.923,17959663.0
1209,北海道 夕張市,1990,1990年度,13.348,18.37,20270794.0
1210,北海道 岩見沢市,2015,2015年度,10.631,32.548,88659463.0
1210,北海道 岩見沢市,2010,2010年度,11.374,27.769,92705106.0
1210,北海道 岩見沢市,2005,2005年度,12.338,24.058,97681200.0
1210,北海道 岩見沢市,2000,2000年度,13.776,20.553,108291075.0
1210,北海道 岩見沢市,1995,1995年度,15.329,16.878,114908633.0
1210,北海道 岩見沢市,1990,1990年度,17.284,13.788,85077064.0
1211,北海道 網走市,2015,2015年度,11.697,27.359,49028049.0
1211,北海道 網走市,2010,2010年度,12.345,22.743,49268108.0
1211,北海道 網走市,2005,2005年度,13.1,20.021,54638480.0
1211,北海道 網走市,2000,2000年度,14.32,16.873,62249718.0
1211,北海道 網走市,1995,1995年度,16.371,13.854,58263659.0
1211,北海道 網走市,1990,1990年度,19.295,11.034,45995937.0
1212,北海道 留萌市,2015,2015年度,10.306,33.81,26011985.0
1212,北海道 留萌市,2010,2010年度,11.248,28.209,27390868.0
1212,北海道 留萌市,2005,2005年度,12.674,23.19,32324909.0
1212,北海道 留萌市,2000,2000年度,14.196,18.648,39707916.0
1212,北海道 留萌市,1995,1995年度,16.633,15.116,40515567.0
1212,北海道 留萌市,1990,1990年度,19.384,11.749,34350080.0
1213,北海道 苫小牧市,2015,2015年度,12.968,25.744,207737625.0
1213,北海道 苫小牧市,2010,2010年度,13.545,21.068,203362965.0
1213,北海道 苫小牧市,2005,2005年度,14.225,18.08,204598867.0
1213,北海道 苫小牧市,2000,2000年度,15.367,14.758,223022638.0
1213,北海道 苫小牧市,1995,1995年度,17.598,11.721,226371884.0
1213,北海道 苫小牧市,1990,1990年度,20.59,9.381,168574729.0
1214,北海道 稚内市,2015,2015年度,11.831,28.876,48370984.0
1214,北海道 稚内市,2010,2010年度,12.14,24.405,47105106.0
1214,北海道 稚内市,2005,2005年度,12.966,20.752,54987088.0
1214,北海道 稚内市,2000,2000年度,14.34,17.252,65316495.0
1214,北海道 稚内市,1995,1995年度,16.764,13.402,61974789.0
1214,北海道 稚内市,1990,1990年度,19.444,10.226,51846781.0
1215,北海道 美唄市,2015,2015年度,8.565,38.433,21223629.0
1215,北海道 美唄市,2010,2010年度,9.883,32.861,22754022.0
1215,北海道 美唄市,2005,2005年度,10.927,28.804,25300328.0
1215,北海道 美唄市,2000,2000年度,11.92,25.078,31776107.0
1215,北海道 美唄市,1995,1995年度,13.45,20.952,35359401.0
1215,北海道 美唄市,1990,1990年度,15.94,17.091,27726158.0
1216,北海道 芦別市,2015,2015年度,7.557,43.643,12220693.0
1216,北海道 芦別市,2010,2010年度,8.594,38.531,13235647.0
1216,北海道 芦別市,2005,2005年度,10.106,33.986,15052579.0
1216,北海道 芦別市,2000,2000年度,11.514,28.541,18884817.0
1216,北海道 芦別市,1995,1995年度,12.891,22.856,21431281.0
1216,北海道 芦別市,1990,1990年度,15.125,17.988,19513311.0
1217,北海道 江別市,2015,2015年度,11.211,27.011,131552749.0
1217,北海道 江別市,2010,2010年度,12.157,21.83,132554078.0
1217,北海道 江別市,2005,2005年度,13.833,17.899,141306231.0
1217,北海道 江別市,2000,2000年度,15.512,15.202,153437993.0
1217,北海道 江別市,1995,1995年度,16.861,12.403,144912931.0
1217,北海道 江別市,1990,1990年度,18.298,10.649,99383263.0
1218,北海道 赤平市,2015,2015年度,7.519,44.701,9187761.0
1218,北海道 赤平市,2010,2010年度,8.483,38.846,9499672.0
1218,北海道 赤平市,2005,2005年度,9.652,34.636,11694811.0
1218,北海道 赤平市,2000,2000年度,9.979,29.893,15022540.0
1218,北海道 赤平市,1995,1995年度,11.544,24.148,16508772.0
1218,北海道 赤平市,1990,1990年度,14.004,18.553,15499533.0
1219,北海道 紋別市,2015,2015年度,10.078,33.022,28995631.0
1219,北海道 紋別市,2010,2010年度,11.208,28.699,26969089.0
1219,北海道 紋別市,2005,2005年度,12.583,24.76,31069169.0
1219,北海道 紋別市,2000,2000年度,13.527,20.347,36729004.0
1219,北海道 紋別市,1995,1995年度,15.177,15.871,35915571.0
1219,北海道 紋別市,1990,1990年度,17.565,12.52,29531022.0
1220,北海道 士別市,2015,2015年度,10.375,37.416,21016615.0
1220,北海道 士別市,2010,2010年度,11.86,32.744,20929040.0
1220,北海道 士別市,2005,2005年度,12.345,28.888,22769353.0
1220,北海道 士別市,2000,2000年度,13.169,24.797,27212725.0
1220,北海道 士別市,1995,1995年度,14.714,20.732,27688940.0
1220,北海道 士別市,1990,1990年度,17.343,16.061,22672132.0
1221,北海道 名寄市,2015,2015年度,11.887,30.274,33684347.0
1221,北海道 名寄市,2010,2010年度,12.314,26.894,33889222.0
1221,北海道 名寄市,2005,2005年度,12.849,24.915,35202621.0
1221,北海道 名寄市,2000,2000年度,13.757,21.36,41269108.0
1221,北海道 名寄市,1995,1995年度,15.555,17.606,40423848.0
1221,北海道 名寄市,1990,1990年度,18.167,13.927,34396678.0
1222,北海道 三笠市,2015,2015年度,7.647,46.067,7328284.0
1222,北海道 三笠市,2010,2010年度,7.563,42.334,8210853.0
1222,北海道 三笠市,2005,2005年度,8.175,38.308,9352335.0
1222,北海道 三笠市,2000,2000年度,9.166,34.09,12014102.0
1222,北海道 三笠市,1995,1995年度,10.175,27.593,13854555.0
1222,北海道 三笠市,1990,1990年度,12.329,21.837,13506802.0
1223,北海道 根室市,2015,2015年度,11.268,30.78,32655021.0
1223,北海道 根室市,2010,2010年度,12.208,26.479,33792936.0
1223,北海道 根室市,2005,2005年度,13.813,22.515,35822048.0
1223,北海道 根室市,2000,2000年度,15.324,18.03,43903492.0
1223,北海道 根室市,1995,1995年度,17.241,14.167,39974365.0
1223,北海道 根室市,1990,1990年度,19.891,11.162,35985478.0
1224,北海道 千歳市,2015,2015年度,14.191,20.888,122728540.0
1224,北海道 千歳市,2010,2010年度,14.832,17.406,115489955.0
1224,北海道 千歳市,2005,2005年度,15.719,14.722,119731784.0
1224,北海道 千歳市,2000,2000年度,16.862,11.741,128752562.0
1224,北海道 千歳市,1995,1995年度,18.704,8.998,124324761.0
1224,北海道 千歳市,1990,1990年度,20.788,6.729,93731953.0
1225,北海道 滝川市,2015,2015年度,10.818,32.416,44218294.0
1225,北海道 滝川市,2010,2010年度,11.888,27.593,44155196.0
1225,北海道 滝川市,2005,2005年度,12.758,23.937,48029265.0
1225,北海道 滝川市,2000,2000年度,14.165,19.965,56663193.0
1225,北海道 滝川市,1995,1995年度,15.632,16.029,59381919.0
1225,北海道 滝川市,1990,1990年度,17.87,12.849,47256736.0
1226,北海道 砂川市,2015,2015年度,9.936,36.114,18825141.0
