"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","C120110",""
"地域 コード","地域","調査年 コード","調査年","/項目","C120110_課税対象所得【千円】","注釈"
"01107","北海道 札幌市 西区","1989100000","1989年度","","-",""
"01108","北海道 札幌市 厚別区","2000100000","2000年度","","-",""
"01108","北海道 札幌市 厚別区","1999100000","1999年度","","-",""
"01108","北海道 札幌市 厚別区","1998100000","1998年度","","-",""
"01108","北海道 札幌市 厚別区","1997100000","1997年度","","-",""
"01108","北海道 札幌市 厚別区","1996100000","1996年度","","-",""
"01108","北海道 札幌市 厚別区","1995100000","1995年度","","-",""
"01108","北海道 札幌市 厚別区","1994100000","1994年度","","-",""
"01108","北海道 札幌市 厚別区","1993100000","1993年度","","-",""
"01108","北海道 札幌市 厚別区","1992100000","1992年度","","-",""
"01108","北海道 札幌市 厚別区","1991100000","1991年度","","-",""
"01108","北海道 札幌市 厚別区","1990100000","1990年度","","-",""
"01108","北海道 札幌市 厚別区","1989100000","1989年度","","-",""
"01109","北海道 札幌市 手稲区","2000100000","2000年度","","-",""
"01109","北海道 札幌市 手稲区","1999100000","1999年度","","-",""
"01109","北海道 札幌市 手稲区","1998100000","1998年度","","-",""
"01109","北海道 札幌市 手稲区","1997100000","1997年度","","-",""
"01109","北海道 札幌市 手稲区","1996100000","1996年度","","-",""
"01109","北海道 札幌市 手稲区","1995100000","1995年度","","-",""
"01109","北海道 札幌市 手稲区","1994100000","1994年度","","-",""
"01109","北海道 札幌市 手稲区","1993100000","1993年度","","-",""
"01109","北海道 札幌市 手稲区","1992100000","1992年度","","-",""
"01109","北海道 札幌市 手稲区","1991100000","1991年度","","-",""
"01109","北海道 札幌市 手稲区","1990100000","1990年度","","-",""
"01109","北海道 札幌市 手稲区","1989100000","1989年度","","-",""
"01110","北海道 札幌市 清田区","2000100000","2000年度","","-",""
"01110","北海道 札幌市 清田区","1999100000","1999年度","","-",""
"01110","北海道 札幌市 清田区","1998100000","1998年度","","-",""
"01110","北海道 札幌市 清田区","1997100000","1997年度","","-",""
"01202","北海道 函館市","2000100000","2000年度","","373,619,641",""
"01202","北海道 函館市","1999100000","1999年度","","379,104,733",""
"01202","北海道 函館市","1998100000","1998年度","","391,803,146",""
"01202","北海道 函館市","1997100000","1997年度","","397,813,330",""
"01202","北海道 函館市","1996100000","1996年度","","388,701,120",""
"01202","北海道 函館市","1995100000","1995年度","","387,587,996",""
"01202","北海道 函館市","1994100000","1994年度","","381,099,068",""
"01202","北海道 函館市","1993100000","1993年度","","374,677,152",""
"01202","北海道 函館市","1992100000","1992年度","","376,907,917",""
"01202","北海道 函館市","1991100000","1991年度","","368,918,482",""
"01202","北海道 函館市","1990100000","1990年度","","319,799,190",""
"01202","北海道 函館市","1989100000","1989年度","","304,525,564",""
"01203","北海道 小樽市","2000100000","2000年度","","177,518,926",""
"01203","北海道 小樽市","1999100000","1999年度","","180,284,725",""
"01203","北海道 小樽市","1998100000","1998年度","","186,845,975",""
"01203","北海道 小樽市","1997100000","1997年度","","190,065,284",""
"01203","北海道 小樽市","1996100000","1996年度","","189,294,415",""
"01203","北海道 小樽市","1995100000","1995年度","","190,654,019",""
"01203","北海道 小樽市","1994100000","1994年度","","189,082,960",""
"01203","北海道 小樽市","1993100000","1993年度","","185,380,226",""
"01203","北海道 小樽市","1992100000","1992年度","","185,312,053",""
"01203","北海道 小樽市","1991100000","1991年度","","176,270,519",""
"01203","北海道 小樽市","1990100000","1990年度","","159,058,009",""
"01203","北海道 小樽市","1989100000","1989年度","","151,525,117",""
"01204","北海道 旭川市","2000100000","2000年度","","446,316,268",""
"01204","北海道 旭川市","1999100000","1999年度","","453,077,600",""
"01204","北海道 旭川市","1998100000","1998年度","","464,392,730",""
"01204","北海道 旭川市","1997100000","1997年度","","469,059,104",""
"01204","北海道 旭川市","1996100000","1996年度","","457,514,554",""
"01204","北海道 旭川市","1995100000","1995年度","","452,203,189",""
"01204","北海道 旭川市","1994100000","1994年度","","443,657,456",""
"01204","北海道 旭川市","1993100000","1993年度","","425,830,762",""
"01204","北海道 旭川市","1992100000","1992年度","","420,819,045",""
"01204","北海道 旭川市","1991100000","1991年度","","390,745,781",""
"01204","北海道 旭川市","1990100000","1990年度","","358,600,681",""
"01204","北海道 旭川市","1989100000","1989年度","","341,359,034",""
"01205","北海道 室蘭市","2000100000","2000年度","","123,988,982",""
"01205","北海道 室蘭市","1999100000","1999年度","","127,523,920",""
"01205","北海道 室蘭市","1998100000","1998年度","","130,680,239",""
"01205","北海道 室蘭市","1997100000","1997年度","","134,765,586",""
"01205","北海道 室蘭市","1996100000","1996年度","","134,310,108",""
"01205","北海道 室蘭市","1995100000","1995年度","","136,566,411",""
"01205","北海道 室蘭市","1994100000","1994年度","","136,443,029",""
"01205","北海道 室蘭市","1993100000","1993年度","","134,524,890",""
"01205","北海道 室蘭市","1992100000","1992年度","","133,964,281",""
"01205","北海道 室蘭市","1991100000","1991年度","","124,395,917",""
"01205","北海道 室蘭市","1990100000","1990年度","","115,103,397",""
"01205","北海道 室蘭市","1989100000","1989年度","","110,307,043",""
"01206","北海道 釧路市","2000100000","2000年度","","254,427,655",""
"01206","北海道 釧路市","1999100000","1999年度","","257,760,050",""
"01206","北海道 釧路市","1998100000","1998年度","","266,430,718",""
"01206","北海道 釧路市","1997100000","1997年度","","268,336,383",""
"01206","北海道 釧路市","1996100000","1996年度","","265,036,361",""
"01206","北海道 釧路市","1995100000","1995年度","","265,464,107",""
"01206","北海道 釧路市","1994100000","1994年度","","260,441,272",""
"01206","北海道 釧路市","1993100000","1993年度","","254,506,512",""
"01206","北海道 釧路市","1992100000","1992年度","","252,890,602",""
"01206","北海道 釧路市","1991100000","1991年度","","237,117,023",""
"01206","北海道 釧路市","1990100000","1990年度","","225,437,342",""
"01206","北海道 釧路市","1989100000","1989年度","","216,903,347",""
"01207","北海道 帯広市","2000100000","2000年度","","243,896,953",""
"01207","北海道 帯広市","1999100000","1999年度","","244,647,767",""
"01207","北海道 帯広市","1998100000","1998年度","","249,573,435",""
"01207","北海道 帯広市","1997100000","1997年度","","250,890,726",""
"01207","北海道 帯広市","1996100000","1996年度","","240,216,498",""
"01207","北海道 帯広市","1995100000","1995年度","","237,817,890",""
"01207","北海道 帯広市","1994100000","1994年度","","229,424,838",""
"01207","北海道 帯広市","1993100000","1993年度","","220,090,154",""
"01207","北海道 帯広市","1992100000","1992年度","","213,744,973",""
"01207","北海道 帯広市","1991100000","1991年度","","198,529,349",""
"01207","北海道 帯広市","1990100000","1990年度","","180,931,144",""
"01207","北海道 帯広市","1989100000","1989年度","","171,516,189",""
"01208","北海道 北見市","2000100000","2000年度","","163,313,297",""
"01208","北海道 北見市","1999100000","1999年度","","164,840,511",""
"01208","北海道 北見市","1998100000","1998年度","","168,521,837",""
"01208","北海道 北見市","1997100000","1997年度","","166,102,329",""
"01208","北海道 北見市","1996100000","1996年度","","162,226,128",""
"01208","北海道 北見市","1995100000","1995年度","","162,915,259",""
"01208","北海道 北見市","1994100000","1994年度","","156,467,391",""
"01208","北海道 北見市","1993100000","1993年度","","147,576,531",""
"01208","北海道 北見市","1992100000","1992年度","","148,792,753",""
"01208","北海道 北見市","1991100000","1991年度","","137,764,369",""
"01208","北海道 北見市","1990100000","1990年度","","127,792,127",""
"01208","北海道 北見市","1989100000","1989年度","","126,527,537",""
"01209","北海道 夕張市","2000100000","2000年度","","14,126,831",""
"01209","北海道 夕張市","1999100000","1999年度","","14,804,095",""
"01209","北海道 夕張市","1998100000","1998年度","","16,151,564",""
"01209","北海道 夕張市","1997100000","1997年度","","18,430,977",""
"01209","北海道 夕張市","1996100000","1996年度","","16,722,453",""
"01209","北海道 夕張市","1995100000","1995年度","","17,959,663",""
